,actor_id,type,public_repos,public_gists,followers,following
580,1809832,User,21,0,38,47
581,1810149,User,35,84,4,0
582,1810309,User,41,3,59,47
583,1811583,User,8,9,4,14
584,1813380,User,44,5,212,3
585,1819009,User,89,1,71,0
586,1824502,User,56,2,54,2
587,1827790,User,58,0,31,138
588,1832280,User,21,1,27,0
589,1839179,User,76,7,27,7
590,1839234,User,64,5,31,5
591,1845482,User,35,1,53,0
592,1851278,User,10,2,17,14
593,1858154,User,97,4,414,62
594,1861190,User,29,4,31,19
595,1865460,User,64,6,22,2
596,1873139,User,17,0,50,8
597,1877141,User,7,0,81,3
598,1882981,User,28,1,20,1
599,1891350,User,21,6,60,0
600,1894506,User,93,0,45,0
601,1897507,User,40,0,8,1
602,1898325,User,82,3,40,27
603,1900090,User,17,0,3,0
604,1900444,User,0,2,3,0
605,1907413,User,21,1,96,15
606,1907867,User,56,5,269,94
607,1911760,User,92,28,1776,14
608,1915775,User,18,5,10,21
609,1915905,User,20,1,42,3
610,1919110,User,42,3,63,3
611,1925840,User,856,106,674,74
612,1929644,User,64,5,120,1
613,1936730,User,166,2,38,7
614,1936763,User,93,4,142,12
615,1942589,User,10,10,40,0
616,1961493,User,45,14,108,3
617,1972417,User,14,2,8,0
618,1980544,User,47,76,246,4
619,1997478,User,14,0,37,0
620,1998245,User,59,3,103,5
621,1998569,User,53,1,1478,919
622,2008729,User,63,13,274,1
623,2009948,User,20,3,16,4
624,2017933,User,53,10,36,1
625,2019387,User,57,10,156,111
626,2033320,User,53,1,86,76
627,2037026,User,24,9,17,0
628,2069590,User,53,0,0,0
629,2096101,User,496,28,1191,189
630,2098816,User,4,0,32,0
631,2105067,User,48,7,92,37
632,2105498,User,14,1,3,0
633,2109877,User,9,0,8,0
634,2129455,User,15,2,23,3
635,2131546,User,258,73,426,134
636,2153442,User,147,38,32,6
637,2156363,User,5,301,38,8
638,2157034,User,4,0,3,4
639,2158838,User,62,4,29,2
640,2159693,User,17,0,14,0
641,2160810,User,55,2,81,36
642,2160915,User,71,69,28,8
643,2168836,User,102,0,32,0
644,2175834,User,4,0,40,1
645,2189609,User,187,7,149,125
646,2191945,User,25,0,140,48
647,2197836,User,135,9,141,120
648,2198466,User,78,7,226,85
649,2202551,User,16,0,1,0
650,2212615,User,23,1,7,5
651,2213641,User,8,1,6,2
652,2219447,User,43,1,9,12
653,2223172,User,29,2,193,0
654,2223916,User,9,2,45,3
655,2241520,User,25,3,189,17
656,2248568,User,0,0,0,0
657,2255111,User,86,8,50,120
658,2263066,User,56,50,132,232
659,2275145,User,7,14,20,12
660,2284563,User,15,0,36,4
661,2285385,User,23,6,79,5
662,2299951,User,55,2,446,1
663,2320445,User,72,8,47,5
664,2321814,User,112,4,118,6
665,2343515,User,76,4,28,8
666,2347409,User,67,31,63,14
667,2361214,User,21,0,84,1
668,2368139,User,9,2,15,0
669,2373925,User,79,3,60,0
670,2379774,User,15,2,14,2
671,2392216,User,66,9,732,5
672,2392775,User,61,5,45,2
673,2392803,User,17,1,5,6
674,2410127,User,45,0,35,0
675,2447371,User,156,1,199,2
676,2452935,User,71,3,53,0
677,2467749,User,24,22,85,298
678,2470527,User,13,5,6,3
679,2479295,User,73,23,29,2
680,2480564,User,17,2,2,0
681,2481110,User,0,0,1,0
682,2482599,User,2,0,1,0
683,2493803,User,27,4,45,21
684,2536801,User,1,0,0,0
685,2547448,User,8,0,7,8
686,2559438,User,186,21,215,73
687,2561818,User,204,10,22,0
688,2564140,User,6,0,4,0
689,2566854,User,19,0,110,4
690,2588548,User,4,0,2,0
691,2595291,User,26,3,18,2
692,2620179,User,256,179,220,6
693,2621499,User,156,60,85,106
694,2633065,User,216,8,307,123
695,2637328,User,46,6,40,2
696,2644648,User,206,39,495,14
697,2649788,User,1,0,29,4
698,2657489,User,13,0,6,0
699,2660574,User,27,3,111,41
700,2682729,User,117,33,205,68
701,2733197,User,5,1,2,0
702,2749938,User,65,10,5,1
703,2762013,User,65,0,23,0
704,2768870,User,248,54,763,42
705,2810001,User,19,0,28,34
706,2814693,User,15,0,7,14
707,2816902,User,23,24,39,32
708,2823529,User,62,6,598,3
709,2842176,User,270,16,3612,616
710,2852703,User,69,0,9,1
711,2854941,User,2,0,8,28
712,2862927,User,56,0,27,25
713,2870104,User,90,10,175,16
714,2894642,User,25,12,19579,3
715,2895723,User,21,2,24,3
716,2898361,User,46,3,2,8
717,2909286,User,8,1,34,4
718,2913845,User,20,1,142,0
719,2920003,User,83,21,32,3
720,2921919,User,35,22,20,3
721,2932708,User,0,0,2,2
722,2951173,User,22,1,6,0
723,2984053,User,21,4,21,2
724,2990321,User,17,1,179,1
725,3001957,User,118,34,1298,99
726,3008360,User,25,0,17,6
727,3019665,User,847,108,215,54
728,3025537,User,72,5,39,0
729,3030561,User,35,2,130,0
730,3036176,User,26,1,157,3
731,3053672,User,12,30,101,1
732,3069354,User,31,2,228,23
733,3081590,User,52,11,23,1
734,3082655,User,114,0,288,85
735,3089613,User,49,0,7,1
736,3122603,User,20,0,10,0
737,3149358,User,16,2,69,8
738,3161395,User,18,0,117,0
739,3170234,User,27,3,5,1
740,3178197,User,91,3,85,0
741,3181692,User,60,0,138,3
742,3191890,User,17,0,7,1
743,3199147,User,9,1,4,0
744,3203059,User,13,0,27,0
745,3216202,User,101,10,16,10
746,3245568,User,22,11,10,27
747,3268242,User,16,0,2,4
748,3277153,User,68,20,295,26
